"country","year","ae_ton_retail"
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",16976
"gbr","2009",17149.2
"gbr","2010",17708.1
"gbr","2011",17410.7
"gbr","2012",17650.2
"gbr","2013",17277.8
"gbr","2014",17099.6
"gbr","2015",17229.5
"gbr","2016",17487.3
"gbr","2017",17015.3
"gbr","2018",16542.7
"gbr","2019",16086.9
"gbr","2020",14267.5
"gbr","2021",14945.1
"gbr","2022",14695.3
"gbr","2023",NA
