"country","year","ae_cap_total"
"srb","1999",NA
"srb","2000",NA
"srb","2001",NA
"srb","2002",NA
"srb","2003",NA
"srb","2004",NA
"srb","2005",NA
"srb","2006",NA
"srb","2007",NA
"srb","2008",NA
"srb","2009",NA
"srb","2010",NA
"srb","2011",NA
"srb","2012",NA
"srb","2013",NA
"srb","2014",NA
"srb","2015",NA
"srb","2016",NA
"srb","2017",NA
"srb","2018",NA
"srb","2019",NA
"srb","2020",NA
"srb","2021",NA
"srb","2022",NA
"srb","2023",NA
"svk","1990",NA
"svk","1991",NA
"svk","1992",NA
"svk","1993",NA
"svk","1994",NA
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",8115.43315
"svk","2009",7304.96832
"svk","2010",7305.8203
"svk","2011",7294.51054
"svk","2012",6765.2949
"svk","2013",6676.7398
"svk","2014",6405.49289
"svk","2015",6471.84572
"svk","2016",6515.74789
"svk","2017",6638.40767
"svk","2018",6633.77377
"svk","2019",6145.98257
"svk","2020",5635.45312
"svk","2021",6232.71486
"svk","2022",5658.96265
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",8093.93535
"svn","2009",7375.583
"svn","2010",7437.53455
"svn","2011",7280.43724
"svn","2012",6938.55908
"svn","2013",6798.00972
"svn","2014",6112.7066
"svn","2015",6231.3631
"svn","2016",6484.65721
"svn","2017",6547.45712
"svn","2018",6628.00163
"svn","2019",6513.93775
"svn","2020",6220.98069
"svn","2021",6120.31974
"svn","2022",5858.21681
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",7309.66712
"esp","2009",6435.67713
"esp","2010",6098.35965
"esp","2011",6223.87241
"esp","2012",6157.58045
"esp","2013",5582.92007
"esp","2014",5644.57855
"esp","2015",5865.20993
"esp","2016",5597.72647
"esp","2017",5877.87761
"esp","2018",5688.64244
"esp","2019",5286.02697
"esp","2020",4559.96359
"esp","2021",4797.26504
"esp","2022",4925.20055
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",6147.80843
"swe","2009",5514.20084
"swe","2010",6147.72661
"swe","2011",5607.24935
"swe","2012",5236.45088
"swe","2013",5048.94224
"swe","2014",4857.67007
"swe","2015",4842.24701
"swe","2016",4891.02655
"swe","2017",4694.01244
"swe","2018",4593.3671
"swe","2019",4439.32889
"swe","2020",3917.78022
"swe","2021",4090.75683
"swe","2022",3979.03445
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",5093.67857
"che","2009",4862.48097
"che","2010",4926.23408
"che","2011",4753.68903
"che","2012",4769.193
"che","2013",4746.78808
"che","2014",4497.46734
"che","2015",4406.61611
"che","2016",4362.19131
"che","2017",4279.13193
"che","2018",4194.92889
"che","2019",4163.37258
"che","2020",3508.42398
"che","2021",3606.63295
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
