"country","year","ae_ton_elec"
"svk","1995",NA
"svk","1996",NA
"svk","1997",NA
"svk","1998",NA
"svk","1999",NA
"svk","2000",NA
"svk","2001",NA
"svk","2002",NA
"svk","2003",NA
"svk","2004",NA
"svk","2005",NA
"svk","2006",NA
"svk","2007",NA
"svk","2008",7958.87741
"svk","2009",7138.0423
"svk","2010",6978.73958
"svk","2011",7098.1042
"svk","2012",6571.93723
"svk","2013",6245.50579
"svk","2014",5477.59323
"svk","2015",5730.19994
"svk","2016",5677.38331
"svk","2017",5702.89407
"svk","2018",5588.31147
"svk","2019",5269.89571
"svk","2020",4892.05042
"svk","2021",5349.01103
"svk","2022",4818.99167
"svk","2023",NA
"svn","1990",NA
"svn","1991",NA
"svn","1992",NA
"svn","1993",NA
"svn","1994",NA
"svn","1995",NA
"svn","1996",NA
"svn","1997",NA
"svn","1998",NA
"svn","1999",NA
"svn","2000",NA
"svn","2001",NA
"svn","2002",NA
"svn","2003",NA
"svn","2004",NA
"svn","2005",NA
"svn","2006",NA
"svn","2007",NA
"svn","2008",6669.83524
"svn","2009",6385.18458
"svn","2010",6511.75253
"svn","2011",6540.96276
"svn","2012",6235.94853
"svn","2013",5923.23623
"svn","2014",4564.298
"svn","2015",4687.54318
"svn","2016",5074.72334
"svn","2017",5074.94964
"svn","2018",4950.39848
"svn","2019",4719.90628
"svn","2020",4654.3935
"svn","2021",4340.49661
"svn","2022",3508.59225
"svn","2023",NA
"esp","1990",NA
"esp","1991",NA
"esp","1992",NA
"esp","1993",NA
"esp","1994",NA
"esp","1995",NA
"esp","1996",NA
"esp","1997",NA
"esp","1998",NA
"esp","1999",NA
"esp","2000",NA
"esp","2001",NA
"esp","2002",NA
"esp","2003",NA
"esp","2004",NA
"esp","2005",NA
"esp","2006",NA
"esp","2007",NA
"esp","2008",93211.89707
"esp","2009",77458.66664
"esp","2010",60607.59404
"esp","2011",74419.83669
"esp","2012",79153.53592
"esp","2013",59288.11575
"esp","2014",63178.7094
"esp","2015",73762.94149
"esp","2016",58367.14108
"esp","2017",68340.69734
"esp","2018",59204.18078
"esp","2019",43533.63938
"esp","2020",30203.62825
"esp","2021",30691.13122
"esp","2022",40828.9933
"esp","2023",NA
"swe","1990",NA
"swe","1991",NA
"swe","1992",NA
"swe","1993",NA
"swe","1994",NA
"swe","1995",NA
"swe","1996",NA
"swe","1997",NA
"swe","1998",NA
"swe","1999",NA
"swe","2000",NA
"swe","2001",NA
"swe","2002",NA
"swe","2003",NA
"swe","2004",NA
"swe","2005",NA
"swe","2006",NA
"swe","2007",NA
"swe","2008",7870.66982
"swe","2009",8211.98209
"swe","2010",10771.38961
"swe","2011",8494.18333
"swe","2012",7929.55628
"swe","2013",7649.99048
"swe","2014",6777.05007
"swe","2015",6421.40009
"swe","2016",6958.68031
"swe","2017",6582.82969
"swe","2018",6830.31955
"swe","2019",5728.2253
"swe","2020",5300.43482
"swe","2021",6028.32139
"swe","2022",5701.83674
"swe","2023",NA
"che","1990",NA
"che","1991",NA
"che","1992",NA
"che","1993",NA
"che","1994",NA
"che","1995",NA
"che","1996",NA
"che","1997",NA
"che","1998",NA
"che","1999",NA
"che","2000",NA
"che","2001",NA
"che","2002",NA
"che","2003",NA
"che","2004",NA
"che","2005",NA
"che","2006",NA
"che","2007",NA
"che","2008",868.2222
"che","2009",851.88579
"che","2010",960.36026
"che","2011",809.43271
"che","2012",865.31802
"che","2013",864.92275
"che","2014",666.03629
"che","2015",769.2449
"che","2016",852.77323
"che","2017",821.19511
"che","2018",812.46855
"che","2019",832.93683
"che","2020",773.31369
"che","2021",843.6248
"che","2022",NA
"che","2023",NA
"tur","1990",NA
"tur","1991",NA
"tur","1992",NA
"tur","1993",NA
"tur","1994",NA
"tur","1995",NA
"tur","1996",NA
"tur","1997",NA
"tur","1998",NA
"tur","1999",NA
"tur","2000",NA
"tur","2001",NA
"tur","2002",NA
"tur","2003",NA
"tur","2004",NA
"tur","2005",NA
"tur","2006",NA
"tur","2007",NA
"tur","2008",NA
"tur","2009",NA
"tur","2010",NA
"tur","2011",NA
"tur","2012",NA
"tur","2013",NA
"tur","2014",NA
"tur","2015",NA
"tur","2016",NA
"tur","2017",NA
"tur","2018",NA
"tur","2019",NA
"tur","2020",NA
"tur","2021",NA
"tur","2022",NA
"tur","2023",NA
"gbr","1990",NA
"gbr","1991",NA
"gbr","1992",NA
"gbr","1993",NA
"gbr","1994",NA
"gbr","1995",NA
"gbr","1996",NA
"gbr","1997",NA
"gbr","1998",NA
"gbr","1999",NA
"gbr","2000",NA
"gbr","2001",NA
"gbr","2002",NA
"gbr","2003",NA
"gbr","2004",NA
"gbr","2005",NA
"gbr","2006",NA
"gbr","2007",NA
"gbr","2008",191635.4
"gbr","2009",169809.7
"gbr","2010",177098.4
"gbr","2011",164259.8
"gbr","2012",178586.3
"gbr","2013",169386.4
"gbr","2014",148443.9
"gbr","2015",132015
"gbr","2016",110073.5
"gbr","2017",99866.8
"gbr","2018",95829.7
"gbr","2019",89371.2
"gbr","2020",80310.9
"gbr","2021",86081
"gbr","2022",82007
"gbr","2023",NA
